Farm_ID,Farmer_Type,Crop_Type,Season,Region,Soil_Type,Rainfall_mm,Temperature_C,Area_Hectare,Yield_ton_per_hectare,Total_Production_ton,Seed_Cost_INR,Fertilizer_Cost_INR,Pesticide_Cost_INR,Labor_Cost_INR,Irrigation_Cost_INR,Total_Cost_INR,Market_Price_per_ton_INR,Total_Revenue_INR,Net_Profit_INR
1,Large,Wheat,Rabi,North,Clay,587.55,16.69,5.77,3.809563052473297,21.98,14638.07,24157.54,8508.06,62457.63,43640.22,153401.52,21000,461580.0,308178.48
2,Small,Wheat,Zaid,North,Loamy,781.27,25.08,11.92,3.697529549981902,44.07,24298.09,65760.07,45286.53,70663.69,94316.88,300325.26,21000,925470.0,625144.74
3,Large,Cotton,Rabi,East,Sandy,828.31,16.68,2.64,2.7054377284516398,7.14,12427.97,13740.05,8915.29,22399.99,16752.63,74235.93000000001,55000,392700.0,318464.07
4,Large,Rice,Kharif,West,Loamy,385.05,16.67,9.95,3.907296068267195,38.88,22501.93,58123.22,25363.6,120709.2,66569.36,293267.31,22000,855360.0,562092.69
5,Small,Wheat,Kharif,Central,Clay,1134.28,29.76,1.92,3.8044099045874384,7.3,6336.29,13729.93,4750.74,17492.71,14554.53,56864.2,21000,153300.0,96435.8
6,Small,Cotton,Rabi,West,Sandy,1643.13,34.93,2.57,1.7902400403660432,4.6,14141.53,15698.61,3557.49,33416.86,11973.69,78788.18,55000,253000.0,174211.82
7,Large,Wheat,Rabi,West,Clay,617.39,30.53,3.9,3.2865326439756055,12.82,15258.11,19767.79,8425.19,37722.77,11604.8,92778.66,21000,269220.0,176441.34
8,Medium,Maize,Kharif,South,Silt,685.08,14.84,10.54,4.933223947022599,52.0,58322.75,74351.46,15280.07,93309.78,56473.61,297737.67000000004,18000,936000.0,638262.33
9,Large,Wheat,Kharif,East,Loamy,1855.37,37.07,5.61,3.426983288013747,19.23,12600.49,28078.87,10194.85,47648.91,27277.76,125800.87999999999,21000,403830.0,278029.12
10,Large,Potato,Rabi,East,Sandy,672.36,37.84,5.05,20.09507308981983,101.48,27136.43,25835.54,5146.98,41155.32,33738.02,133012.28999999998,12000,1217760.0,1084747.71
